text,char_count,over_twitter_length,p_num,text_chunked,chunk_tot,chunk_num,text_to_tweet,text_to_tweet_char_count,tweeted_timestamp
"The old man was thin and gaunt with deep wrinkles in the back of his
neck.  The brown blotches of the benevolent skin cancer the sun brings
from its reflection on the tropic sea were on his cheeks.  The blotches
ran well down the sides of his face and his hands had the deep-creased
scars from handling heavy fish on the cords.  But none of these scars
were fresh.  They were as old as erosions in a fishless desert.",416,True,7,The old man was thin and gaunt with deep wrinkles in the back of his neck. The brown blotches of the benevolent skin cancer the sun brings from its reflection on the tropic sea were on his cheeks. The blotches ran well,2,1,The old man was thin and gaunt with deep wrinkles in the back of his neck. The brown blotches of the benevolent skin cancer the sun brings from its reflection on the tropic sea were on his cheeks. The blotches ran well 1/2 #hemingway,233,
"The old man was thin and gaunt with deep wrinkles in the back of his
neck.  The brown blotches of the benevolent skin cancer the sun brings
from its reflection on the tropic sea were on his cheeks.  The blotches
ran well down the sides of his face and his hands had the deep-creased
scars from handling heavy fish on the cords.  But none of these scars
were fresh.  They were as old as erosions in a fishless desert.",416,True,7,down the sides of his face and his hands had the deep-creased scars from handling heavy fish on the cords. But none of these scars were fresh. They were as old as erosions in a fishless desert.,2,2,down the sides of his face and his hands had the deep-creased scars from handling heavy fish on the cords. But none of these scars were fresh. They were as old as erosions in a fishless desert. 2/2 #hemingway,208,
"Everything about him was old except his eyes and they were the same
color as the sea and were cheerful and undefeated.",118,False,8,"Everything about him was old except his eyes and they were the same
color as the sea and were cheerful and undefeated.",1,1,"Everything about him was old except his eyes and they were the same
color as the sea and were cheerful and undefeated. 

#hemingway",131,
"""Santiago,"" the boy said to him as they climbed the bank from where the
skiff was hauled up.  ""I could go with you again.  We've made some
money.""",146,False,9,"""Santiago,"" the boy said to him as they climbed the bank from where the
skiff was hauled up.  ""I could go with you again.  We've made some
money.""",1,1,"""Santiago,"" the boy said to him as they climbed the bank from where the
skiff was hauled up.  ""I could go with you again.  We've made some
money."" 

#hemingway",159,
The old man had taught the boy to fish and the boy loved him.,61,False,10,The old man had taught the boy to fish and the boy loved him.,1,1,"The old man had taught the boy to fish and the boy loved him. 

#hemingway",74,
"""No,"" the old man said.  ""You're with a lucky boat.  Stay with them.""",69,False,11,"""No,"" the old man said.  ""You're with a lucky boat.  Stay with them.""",1,1,"""No,"" the old man said.  ""You're with a lucky boat.  Stay with them."" 

#hemingway",82,
"""But remember how you went eighty-seven days without fish and then we
caught big ones every day for three weeks.""",113,False,12,"""But remember how you went eighty-seven days without fish and then we
caught big ones every day for three weeks.""",1,1,"""But remember how you went eighty-seven days without fish and then we
caught big ones every day for three weeks."" 

#hemingway",126,
"""I remember,"" the old man said.  ""I know you did not leave me because
you doubted.""",83,False,13,"""I remember,"" the old man said.  ""I know you did not leave me because
you doubted.""",1,1,"""I remember,"" the old man said.  ""I know you did not leave me because
you doubted."" 

#hemingway",96,
"""It was papa made me leave.  I am a boy and I must obey him.""",61,False,14,"""It was papa made me leave.  I am a boy and I must obey him.""",1,1,"""It was papa made me leave.  I am a boy and I must obey him."" 

#hemingway",74,
"""I know,"" the old man said.  ""It is quite normal.""",50,False,15,"""I know,"" the old man said.  ""It is quite normal.""",1,1,"""I know,"" the old man said.  ""It is quite normal."" 

#hemingway",63,
"""He hasn't much faith.""",23,False,16,"""He hasn't much faith.""",1,1,"""He hasn't much faith."" 

#hemingway",36,
"""No,"" the old man said.  ""But we have.  Haven't we?""",52,False,17,"""No,"" the old man said.  ""But we have.  Haven't we?""",1,1,"""No,"" the old man said.  ""But we have.  Haven't we?"" 

#hemingway",65,
"""Yes,"" the boy said.  ""Can I offer you a beer on the Terrace and then
we'll take the stuff home.""",97,False,18,"""Yes,"" the boy said.  ""Can I offer you a beer on the Terrace and then
we'll take the stuff home.""",1,1,"""Yes,"" the boy said.  ""Can I offer you a beer on the Terrace and then
we'll take the stuff home."" 

#hemingway",110,
"""Why not?"" the old man said.  ""Between fishermen.""",50,False,19,"""Why not?"" the old man said.  ""Between fishermen.""",1,1,"""Why not?"" the old man said.  ""Between fishermen."" 

#hemingway",63,
"They sat on the Terrace and many of the fishermen made fun of the old
man and he was not angry.  Others, of the older fishermen, looked at
him and were sad.  But they did not show it and they spoke politely
about the current and the depths they had drifted their lines at and
the steady good weather and of what they had seen.  The successful
fishermen of that day were already in and had butchered their marlin
out and carried them laid full length across two planks, with two men
staggering at the end of each plank, to the fish house where they
waited for the ice truck to carry them to the market in Havana.  Those
who had caught sharks had taken them to the shark factory on the other
side of the cove where they were hoisted on a block and tackle, their
livers removed, their fins cut off and their hides skinned out and
their flesh cut into strips for salting.",867,True,20,"They sat on the Terrace and many of the fishermen made fun of the old man and he was not angry. Others, of the older fishermen, looked at him and were sad. But they did not show it and they spoke politely about the current",4,1,"They sat on the Terrace and many of the fishermen made fun of the old man and he was not angry. Others, of the older fishermen, looked at him and were sad. But they did not show it and they spoke politely about the current 1/4 #hemingway",237,
"They sat on the Terrace and many of the fishermen made fun of the old
man and he was not angry.  Others, of the older fishermen, looked at
him and were sad.  But they did not show it and they spoke politely
about the current and the depths they had drifted their lines at and
the steady good weather and of what they had seen.  The successful
fishermen of that day were already in and had butchered their marlin
out and carried them laid full length across two planks, with two men
staggering at the end of each plank, to the fish house where they
waited for the ice truck to carry them to the market in Havana.  Those
who had caught sharks had taken them to the shark factory on the other
side of the cove where they were hoisted on a block and tackle, their
livers removed, their fins cut off and their hides skinned out and
their flesh cut into strips for salting.",867,True,20,and the depths they had drifted their lines at and the steady good weather and of what they had seen. The successful fishermen of that day were already in and had butchered their marlin out and carried them laid full,4,2,and the depths they had drifted their lines at and the steady good weather and of what they had seen. The successful fishermen of that day were already in and had butchered their marlin out and carried them laid full 2/4 #hemingway,231,
"They sat on the Terrace and many of the fishermen made fun of the old
man and he was not angry.  Others, of the older fishermen, looked at
him and were sad.  But they did not show it and they spoke politely
about the current and the depths they had drifted their lines at and
the steady good weather and of what they had seen.  The successful
fishermen of that day were already in and had butchered their marlin
out and carried them laid full length across two planks, with two men
staggering at the end of each plank, to the fish house where they
waited for the ice truck to carry them to the market in Havana.  Those
who had caught sharks had taken them to the shark factory on the other
side of the cove where they were hoisted on a block and tackle, their
livers removed, their fins cut off and their hides skinned out and
their flesh cut into strips for salting.",867,True,20,"length across two planks, with two men staggering at the end of each plank, to the fish house where they waited for the ice truck to carry them to the market in Havana. Those who had caught sharks had taken them to the",4,3,"length across two planks, with two men staggering at the end of each plank, to the fish house where they waited for the ice truck to carry them to the market in Havana. Those who had caught sharks had taken them to the 3/4 #hemingway",233,
"They sat on the Terrace and many of the fishermen made fun of the old
man and he was not angry.  Others, of the older fishermen, looked at
him and were sad.  But they did not show it and they spoke politely
about the current and the depths they had drifted their lines at and
the steady good weather and of what they had seen.  The successful
fishermen of that day were already in and had butchered their marlin
out and carried them laid full length across two planks, with two men
staggering at the end of each plank, to the fish house where they
waited for the ice truck to carry them to the market in Havana.  Those
who had caught sharks had taken them to the shark factory on the other
side of the cove where they were hoisted on a block and tackle, their
livers removed, their fins cut off and their hides skinned out and
their flesh cut into strips for salting.",867,True,20,"shark factory on the other side of the cove where they were hoisted on a block and tackle, their livers removed, their fins cut off and their hides skinned out and their flesh cut into strips for salting.",4,4,"shark factory on the other side of the cove where they were hoisted on a block and tackle, their livers removed, their fins cut off and their hides skinned out and their flesh cut into strips for salting. 4/4 #hemingway",219,
"When the wind was in the east a smell came across the harbour from the
shark factory; but today there was only the faint edge of the odour
because the wind had backed into the north and then dropped off and it
was pleasant and sunny on the Terrace.",248,False,21,When the wind was in the east a smell came across the harbour from the shark factory; but today there was only the faint edge of the odour because the wind had backed into the north and then dropped off and it was pleasant,2,1,When the wind was in the east a smell came across the harbour from the shark factory; but today there was only the faint edge of the odour because the wind had backed into the north and then dropped off and it was pleasant 1/2 #hemingway,237,
"When the wind was in the east a smell came across the harbour from the
shark factory; but today there was only the faint edge of the odour
because the wind had backed into the north and then dropped off and it
was pleasant and sunny on the Terrace.",248,False,21,and sunny on the Terrace.,2,2,and sunny on the Terrace. 2/2 #hemingway,40,
"""Santiago,"" the boy said.",25,False,22,"""Santiago,"" the boy said.",1,1,"""Santiago,"" the boy said. 

#hemingway",38,
"""Yes,"" the old man said.  He was holding his glass and thinking of many
years ago.",82,False,23,"""Yes,"" the old man said.  He was holding his glass and thinking of many
years ago.",1,1,"""Yes,"" the old man said.  He was holding his glass and thinking of many
years ago. 

#hemingway",95,
"""Can I go out to get sardines for you for tomorrow?""",52,False,24,"""Can I go out to get sardines for you for tomorrow?""",1,1,"""Can I go out to get sardines for you for tomorrow?"" 

#hemingway",65,
"""No.  Go and play baseball.  I can still row and Rogelio will throw the
net.""",77,False,25,"""No.  Go and play baseball.  I can still row and Rogelio will throw the
net.""",1,1,"""No.  Go and play baseball.  I can still row and Rogelio will throw the
net."" 

#hemingway",90,
"""I would like to go.  If I cannot fish with you, I would like to serve
in some way.""",84,False,26,"""I would like to go.  If I cannot fish with you, I would like to serve
in some way.""",1,1,"""I would like to go.  If I cannot fish with you, I would like to serve
in some way."" 

#hemingway",97,
"""You bought me a beer,"" the old man said.  ""You are already a man.""",67,False,27,"""You bought me a beer,"" the old man said.  ""You are already a man.""",1,1,"""You bought me a beer,"" the old man said.  ""You are already a man."" 

#hemingway",80,
"""How old was I when you first took me in a boat?""",49,False,28,"""How old was I when you first took me in a boat?""",1,1,"""How old was I when you first took me in a boat?"" 

#hemingway",62,
"""Five and you nearly were killed when I brought the fish in too green
and he nearly tore the boat to pieces.  Can you remember?""",128,False,29,"""Five and you nearly were killed when I brought the fish in too green
and he nearly tore the boat to pieces.  Can you remember?""",1,1,"""Five and you nearly were killed when I brought the fish in too green
and he nearly tore the boat to pieces.  Can you remember?"" 

#hemingway",141,
"""I can remember the tail slapping and banging and the thwart breaking
and the noise of the clubbing.  I can remember you throwing me into the
bow where the wet coiled lines were and feeling the whole boat shiver
and the noise of you clubbing him like chopping a tree down and the
sweet blood smell all over me.""",311,True,30,"""I can remember the tail slapping and banging and the thwart breaking and the noise of the clubbing. I can remember you throwing me into the bow where the wet coiled lines were and feeling the whole boat shiver and the",2,1,"""I can remember the tail slapping and banging and the thwart breaking and the noise of the clubbing. I can remember you throwing me into the bow where the wet coiled lines were and feeling the whole boat shiver and the 1/2 #hemingway",233,
"""I can remember the tail slapping and banging and the thwart breaking
and the noise of the clubbing.  I can remember you throwing me into the
bow where the wet coiled lines were and feeling the whole boat shiver
and the noise of you clubbing him like chopping a tree down and the
sweet blood smell all over me.""",311,True,30,"noise of you clubbing him like chopping a tree down and the sweet blood smell all over me.""",2,2,"noise of you clubbing him like chopping a tree down and the sweet blood smell all over me."" 2/2 #hemingway",106,
"""Can you really remember that or did I just tell it to you?""",60,False,31,"""Can you really remember that or did I just tell it to you?""",1,1,"""Can you really remember that or did I just tell it to you?"" 

#hemingway",73,
"""I remember everything from when we first went together.""",57,False,32,"""I remember everything from when we first went together.""",1,1,"""I remember everything from when we first went together."" 

#hemingway",70,
"The old man looked at him with his sun-burned, confident loving eyes.",69,False,33,"The old man looked at him with his sun-burned, confident loving eyes.",1,1,"The old man looked at him with his sun-burned, confident loving eyes. 

#hemingway",82,
"""If you were my boy I'd take you out and gamble,"" he said.  ""But you
are your father's and your mother's and you are in a lucky boat.""",134,False,34,"""If you were my boy I'd take you out and gamble,"" he said.  ""But you
are your father's and your mother's and you are in a lucky boat.""",1,1,"""If you were my boy I'd take you out and gamble,"" he said.  ""But you
are your father's and your mother's and you are in a lucky boat."" 

#hemingway",147,
"""May I get the sardines?  I know where I can get four baits too.""",65,False,35,"""May I get the sardines?  I know where I can get four baits too.""",1,1,"""May I get the sardines?  I know where I can get four baits too."" 

#hemingway",78,
"""I have mine left from today.  I put them in salt in the box.""",62,False,36,"""I have mine left from today.  I put them in salt in the box.""",1,1,"""I have mine left from today.  I put them in salt in the box."" 

#hemingway",75,
"""Let me get four fresh ones.""",29,False,37,"""Let me get four fresh ones.""",1,1,"""Let me get four fresh ones."" 

#hemingway",42,
"""One,"" the old man said.  His hope and his confidence had never gone.
But now they were freshening as when the breeze rises.",124,False,38,"""One,"" the old man said.  His hope and his confidence had never gone.
But now they were freshening as when the breeze rises.",1,1,"""One,"" the old man said.  His hope and his confidence had never gone.
But now they were freshening as when the breeze rises. 

#hemingway",137,
"""Two,"" the boy said.",20,False,39,"""Two,"" the boy said.",1,1,"""Two,"" the boy said. 

#hemingway",33,
"""Two,"" the old man agreed.  ""You didn't steal them?""",52,False,40,"""Two,"" the old man agreed.  ""You didn't steal them?""",1,1,"""Two,"" the old man agreed.  ""You didn't steal them?"" 

#hemingway",65,
"""I would,"" the boy said.  ""But I bought these.""",47,False,41,"""I would,"" the boy said.  ""But I bought these.""",1,1,"""I would,"" the boy said.  ""But I bought these."" 

#hemingway",60,
"""Thank you,"" the old man said.  He was too simple to wonder when he had
attained humility.  But he knew he had attained it and he knew it was
not disgraceful and it carried no loss of true pride.",195,False,42,"""Thank you,"" the old man said.  He was too simple to wonder when he had
attained humility.  But he knew he had attained it and he knew it was
not disgraceful and it carried no loss of true pride.",1,1,"""Thank you,"" the old man said.  He was too simple to wonder when he had
attained humility.  But he knew he had attained it and he knew it was
not disgraceful and it carried no loss of true pride. 

#hemingway",208,
"""Tomorrow is going to be a good day with this current,"" he said.",64,False,43,"""Tomorrow is going to be a good day with this current,"" he said.",1,1,"""Tomorrow is going to be a good day with this current,"" he said. 

#hemingway",77,
"""Where are you going?"" the boy asked.",37,False,44,"""Where are you going?"" the boy asked.",1,1,"""Where are you going?"" the boy asked. 

#hemingway",50,
"""Far out to come in when the wind shifts.  I want to be out before it
is light.""",80,False,45,"""Far out to come in when the wind shifts.  I want to be out before it
is light.""",1,1,"""Far out to come in when the wind shifts.  I want to be out before it
is light."" 

#hemingway",93,
"""I'll try to get him to work far out,"" the boy said.  ""Then if you hook
something truly big we can come to your aid.""",117,False,46,"""I'll try to get him to work far out,"" the boy said.  ""Then if you hook
something truly big we can come to your aid.""",1,1,"""I'll try to get him to work far out,"" the boy said.  ""Then if you hook
something truly big we can come to your aid."" 

#hemingway",130,
"""He does not like to work too far out.""",39,False,47,"""He does not like to work too far out.""",1,1,"""He does not like to work too far out."" 

#hemingway",52,
"""No,"" the boy said.  ""But I will see something that he cannot see such
as a bird working and get him to come out after dolphin.""",128,False,48,"""No,"" the boy said.  ""But I will see something that he cannot see such
as a bird working and get him to come out after dolphin.""",1,1,"""No,"" the boy said.  ""But I will see something that he cannot see such
as a bird working and get him to come out after dolphin."" 

#hemingway",141,
"""Are his eyes that bad?""",24,False,49,"""Are his eyes that bad?""",1,1,"""Are his eyes that bad?"" 

#hemingway",37,
"""He is almost blind.""",21,False,50,"""He is almost blind.""",1,1,"""He is almost blind."" 

#hemingway",34,
"""It is strange,"" the old man said.  ""He never went turtle-ing.  That is
what kills the eyes.""",93,False,51,"""It is strange,"" the old man said.  ""He never went turtle-ing.  That is
what kills the eyes.""",1,1,"""It is strange,"" the old man said.  ""He never went turtle-ing.  That is
what kills the eyes."" 

#hemingway",106,
"""But you went turtle-ing for years off the Mosquito Coast and your eyes
are good.""",82,False,52,"""But you went turtle-ing for years off the Mosquito Coast and your eyes
are good.""",1,1,"""But you went turtle-ing for years off the Mosquito Coast and your eyes
are good."" 

#hemingway",95,
"""I am a strange old man.""",25,False,53,"""I am a strange old man.""",1,1,"""I am a strange old man."" 

#hemingway",38,
"""But are you strong enough now for a truly big fish?""",53,False,54,"""But are you strong enough now for a truly big fish?""",1,1,"""But are you strong enough now for a truly big fish?"" 

#hemingway",66,
"""I think so.  And there are many tricks.""",41,False,55,"""I think so.  And there are many tricks.""",1,1,"""I think so.  And there are many tricks."" 

#hemingway",54,
"""Let us take the stuff home,"" the boy said.  ""So I can get the cast net
and go after the sardines.""",99,False,56,"""Let us take the stuff home,"" the boy said.  ""So I can get the cast net
and go after the sardines.""",1,1,"""Let us take the stuff home,"" the boy said.  ""So I can get the cast net
and go after the sardines."" 

#hemingway",112,
"They picked up the gear from the boat.  The old man carried the mast on
his shoulder and the boy carried the wooden box with the coiled,
hard-braided brown lines, the gaff and the harpoon with its shaft.  The
box with the baits was under the stern of the skiff along with the club
that was used to subdue the big fish when they were brought alongside.
No one would steal from the old man but it was better to take the sail
and the heavy lines home as the dew was bad for them and, though he was
quite sure no local people would steal from him, the old man thought
that a gaff and a harpoon were needless temptations to leave in a boat.",635,True,57,"They picked up the gear from the boat. The old man carried the mast on his shoulder and the boy carried the wooden box with the coiled, hard-braided brown lines, the gaff and the harpoon with its shaft. The box with",3,1,"They picked up the gear from the boat. The old man carried the mast on his shoulder and the boy carried the wooden box with the coiled, hard-braided brown lines, the gaff and the harpoon with its shaft. The box with 1/3 #hemingway",230,
"They picked up the gear from the boat.  The old man carried the mast on
his shoulder and the boy carried the wooden box with the coiled,
hard-braided brown lines, the gaff and the harpoon with its shaft.  The
box with the baits was under the stern of the skiff along with the club
that was used to subdue the big fish when they were brought alongside.
No one would steal from the old man but it was better to take the sail
and the heavy lines home as the dew was bad for them and, though he was
quite sure no local people would steal from him, the old man thought
that a gaff and a harpoon were needless temptations to leave in a boat.",635,True,57,the baits was under the stern of the skiff along with the club that was used to subdue the big fish when they were brought alongside. No one would steal from the old man but it was better to take the sail and the heavy,3,2,the baits was under the stern of the skiff along with the club that was used to subdue the big fish when they were brought alongside. No one would steal from the old man but it was better to take the sail and the heavy 2/3 #hemingway,233,
"They picked up the gear from the boat.  The old man carried the mast on
his shoulder and the boy carried the wooden box with the coiled,
hard-braided brown lines, the gaff and the harpoon with its shaft.  The
box with the baits was under the stern of the skiff along with the club
that was used to subdue the big fish when they were brought alongside.
No one would steal from the old man but it was better to take the sail
and the heavy lines home as the dew was bad for them and, though he was
quite sure no local people would steal from him, the old man thought
that a gaff and a harpoon were needless temptations to leave in a boat.",635,True,57,"lines home as the dew was bad for them and, though he was quite sure no local people would steal from him, the old man thought that a gaff and a harpoon were needless temptations to leave in a boat.",3,3,"lines home as the dew was bad for them and, though he was quite sure no local people would steal from him, the old man thought that a gaff and a harpoon were needless temptations to leave in a boat. 3/3 #hemingway",213,
"They walked up the road together to the old man's shack and went in
through its open door.  The old man leaned the mast with its wrapped
sail against the wall and the boy put the box and the other gear beside
it.  The mast was nearly as long as the one room of the shack.  The
shack was made of the tough bud-shields of the royal palm which are
called guano and in it there was a bed, a table, one chair, and a
place on the dirt floor to cook with charcoal.  On the brown walls of
the flattened, overlapping leaves of the sturdy fibered guano there
was a picture in color of the Sacred Heart of Jesus and another of the
Virgin of Cobre.  These were relics of his wife.  Once there had been a
tinted photograph of his wife on the wall but he had taken it down
because it made him too lonely to see it and it was on the shelf in the
corner under his clean shirt.",860,True,58,They walked up the road together to the old man's shack and went in through its open door. The old man leaned the mast with its wrapped sail against the wall and the boy put the box and the other gear beside it. The,4,1,They walked up the road together to the old man's shack and went in through its open door. The old man leaned the mast with its wrapped sail against the wall and the boy put the box and the other gear beside it. The 1/4 #hemingway,230,
"They walked up the road together to the old man's shack and went in
through its open door.  The old man leaned the mast with its wrapped
sail against the wall and the boy put the box and the other gear beside
it.  The mast was nearly as long as the one room of the shack.  The
shack was made of the tough bud-shields of the royal palm which are
called guano and in it there was a bed, a table, one chair, and a
place on the dirt floor to cook with charcoal.  On the brown walls of
the flattened, overlapping leaves of the sturdy fibered guano there
was a picture in color of the Sacred Heart of Jesus and another of the
Virgin of Cobre.  These were relics of his wife.  Once there had been a
tinted photograph of his wife on the wall but he had taken it down
because it made him too lonely to see it and it was on the shelf in the
corner under his clean shirt.",860,True,58,"mast was nearly as long as the one room of the shack. The shack was made of the tough bud-shields of the royal palm which are called guano and in it there was a bed, a table, one chair, and a place on the dirt floor",4,2,"mast was nearly as long as the one room of the shack. The shack was made of the tough bud-shields of the royal palm which are called guano and in it there was a bed, a table, one chair, and a place on the dirt floor 2/4 #hemingway",230,
"They walked up the road together to the old man's shack and went in
through its open door.  The old man leaned the mast with its wrapped
sail against the wall and the boy put the box and the other gear beside
it.  The mast was nearly as long as the one room of the shack.  The
shack was made of the tough bud-shields of the royal palm which are
called guano and in it there was a bed, a table, one chair, and a
place on the dirt floor to cook with charcoal.  On the brown walls of
the flattened, overlapping leaves of the sturdy fibered guano there
was a picture in color of the Sacred Heart of Jesus and another of the
Virgin of Cobre.  These were relics of his wife.  Once there had been a
tinted photograph of his wife on the wall but he had taken it down
because it made him too lonely to see it and it was on the shelf in the
corner under his clean shirt.",860,True,58,"to cook with charcoal. On the brown walls of the flattened, overlapping leaves of the sturdy fibered guano there was a picture in color of the Sacred Heart of Jesus and another of the Virgin of Cobre. These were relics",4,3,"to cook with charcoal. On the brown walls of the flattened, overlapping leaves of the sturdy fibered guano there was a picture in color of the Sacred Heart of Jesus and another of the Virgin of Cobre. These were relics 3/4 #hemingway",233,
"They walked up the road together to the old man's shack and went in
through its open door.  The old man leaned the mast with its wrapped
sail against the wall and the boy put the box and the other gear beside
it.  The mast was nearly as long as the one room of the shack.  The
shack was made of the tough bud-shields of the royal palm which are
called guano and in it there was a bed, a table, one chair, and a
place on the dirt floor to cook with charcoal.  On the brown walls of
the flattened, overlapping leaves of the sturdy fibered guano there
was a picture in color of the Sacred Heart of Jesus and another of the
Virgin of Cobre.  These were relics of his wife.  Once there had been a
tinted photograph of his wife on the wall but he had taken it down
because it made him too lonely to see it and it was on the shelf in the
corner under his clean shirt.",860,True,58,of his wife. Once there had been a tinted photograph of his wife on the wall but he had taken it down because it made him too lonely to see it and it was on the shelf in the corner under his clean shirt.,4,4,of his wife. Once there had been a tinted photograph of his wife on the wall but he had taken it down because it made him too lonely to see it and it was on the shelf in the corner under his clean shirt. 4/4 #hemingway,218,
"""What do you have to eat?"" the boy asked.",41,False,59,"""What do you have to eat?"" the boy asked.",1,1,"""What do you have to eat?"" the boy asked. 

#hemingway",54,
"""A pot of yellow rice with fish.  Do you want some?""",52,False,60,"""A pot of yellow rice with fish.  Do you want some?""",1,1,"""A pot of yellow rice with fish.  Do you want some?"" 

#hemingway",65,
"""No.  I will eat at home.  Do you want me to make the fire?""",60,False,61,"""No.  I will eat at home.  Do you want me to make the fire?""",1,1,"""No.  I will eat at home.  Do you want me to make the fire?"" 

#hemingway",73,
"""No.  I will make it later on.  Or I may eat the rice cold.""",60,False,62,"""No.  I will make it later on.  Or I may eat the rice cold.""",1,1,"""No.  I will make it later on.  Or I may eat the rice cold."" 

#hemingway",73,
"""May I take the cast net?""",26,False,63,"""May I take the cast net?""",1,1,"""May I take the cast net?"" 

#hemingway",39,
"""Of course.""",12,False,64,"""Of course.""",1,1,"""Of course."" 

#hemingway",25,
"There was no cast net and the boy remembered when they had sold it.
But they went through this fiction every day.  There was no pot of
yellow rice and fish and the boy knew this too.",182,False,65,"There was no cast net and the boy remembered when they had sold it.
But they went through this fiction every day.  There was no pot of
yellow rice and fish and the boy knew this too.",1,1,"There was no cast net and the boy remembered when they had sold it.
But they went through this fiction every day.  There was no pot of
yellow rice and fish and the boy knew this too. 

#hemingway",195,
